pid	rank	img_idx	img_label	score	path
0009	1	14713	1352	0.347183	
0009	2	11104	0932	0.342419	
0009	3	9696	0753	0.340969	
0009	4	6748	0418	0.338239	
0009	5	7015	0461	0.329425	
0009	6	13700	1241	0.328272	
0009	7	13430	1212	0.327789	
0009	8	14290	1302	0.327464	
0009	9	4993	0226	0.326427	
0009	10	13064	1174	0.325579	
0040	1	5655	0275	0.331041	
0040	2	1462	0000	0.328570	
0040	3	5153	0230	0.321078	
0040	4	4280	0156	0.321004	
0040	5	1847	0000	0.319995	
0040	6	3471	0074	0.318431	
0040	7	5150	0230	0.318225	
0040	8	11697	1026	0.315871	
0040	9	2055	0000	0.315764	
0040	10	4281	0156	0.315515	
0044	1	1794	0000	0.330844	
0044	2	10761	0889	0.328404	
0044	3	12766	1148	0.326805	
0044	4	5191	0233	0.326385	
0044	5	12767	1148	0.324934	
0044	6	8013	0583	0.323913	
0044	7	14331	1308	0.320528	
0044	8	9152	0717	0.320466	
0044	9	13347	1203	0.320389	
0044	10	4912	0219	0.319786	
0050	1	4694	0198	0.325324	
0050	2	8013	0583	0.322773	
0050	3	8706	0678	0.322158	
0050	4	11056	0927	0.321860	
0050	5	7785	0560	0.320410	
0050	6	6909	0448	0.319029	
0050	7	8448	0632	0.319011	
0050	8	15857	1498	0.318803	
0050	9	15875	1498	0.318753	
0050	10	15865	1498	0.316970	
0054	1	4281	0156	0.335688	
0054	2	4280	0156	0.327745	
0054	3	3693	0094	0.327743	
0054	4	3692	0094	0.327561	
0054	5	13835	1259	0.322262	
0054	6	13372	1207	0.318070	
0054	7	6909	0448	0.316002	
0054	8	893	0000	0.313990	
0054	9	7141	0474	0.313906	
0054	10	9347	0727	0.313443	
0075	1	8700	0678	0.371687	
0075	2	8699	0678	0.361925	
0075	3	8706	0678	0.355965	
0075	4	14862	1362	0.354704	
0075	5	4694	0198	0.353033	
0075	6	8713	0678	0.353032	
0075	7	2750	0000	0.347604	
0075	8	4678	0198	0.347180	
0075	9	8712	0678	0.347107	
0075	10	15132	1394	0.346504	
0183	1	2993	0016	0.342234	
0183	2	8259	0610	0.335456	
0183	3	7884	0574	0.330018	
0183	4	13617	1228	0.326658	
0183	5	14357	1311	0.326140	
0183	6	14395	1314	0.326052	
0183	7	11967	1061	0.325232	
0183	8	13658	1233	0.324539	
0183	9	11408	0983	0.322799	
0183	10	5626	0271	0.319174	
0191	1	10117	0797	0.343912	
0191	2	8734	0680	0.338365	
0191	3	11119	0934	0.333748	
0191	4	7594	0527	0.330437	
0191	5	4600	0191	0.328107	
0191	6	7100	0469	0.327417	
0191	7	2203	0000	0.326195	
0191	8	9763	0763	0.325642	
0191	9	7296	0493	0.324806	
0191	10	1367	0000	0.323695	
0192	1	8700	0678	0.380740	
0192	2	14862	1362	0.369008	
0192	3	8699	0678	0.365503	
0192	4	8713	0678	0.361743	
0192	5	5797	0286	0.361607	
0192	6	8706	0678	0.358573	
0192	7	15857	1498	0.358420	
0192	8	4694	0198	0.357588	
0192	9	4678	0198	0.357222	
0192	10	10858	0909	0.355221	
0200	1	3692	0094	0.349867	
0200	2	1960	0000	0.336814	
0200	3	4281	0156	0.336535	
0200	4	4705	0200	0.335045	
0200	5	1847	0000	0.334448	
0200	6	1575	0000	0.334283	
0200	7	7808	0561	0.333762	
0200	8	7745	0550	0.330292	
0200	9	5320	0253	0.329951	
0200	10	5282	0247	0.328626	
0213	1	15656	1472	0.347332	
0213	2	12423	1105	0.344879	
0213	3	13163	1184	0.344431	
0213	4	6089	0319	0.343237	
0213	5	7155	0476	0.341584	
0213	6	12857	1151	0.340805	
0213	7	3556	0080	0.339931	
0213	8	13186	1185	0.339650	
0213	9	6808	0428	0.339034	
0213	10	11094	0932	0.338636	
0230	1	1847	0000	0.350832	
0230	2	4281	0156	0.340820	
0230	3	5655	0275	0.338540	
0230	4	4280	0156	0.328841	
0230	5	1462	0000	0.327765	
0230	6	5153	0230	0.325251	
0230	7	5150	0230	0.324503	
0230	8	1960	0000	0.324249	
0230	9	2055	0000	0.323631	
0230	10	5148	0230	0.323395	
0258	1	13625	1229	0.360536	
0258	2	12233	1083	0.353521	
0258	3	13624	1229	0.353186	
0258	4	13642	1229	0.350842	
0258	5	5788	0286	0.350562	
0258	6	12234	1083	0.349625	
0258	7	11002	0923	0.346350	
0258	8	3925	0128	0.345210	
0258	9	13368	1205	0.344273	
0258	10	13347	1203	0.343908	
0286	1	10453	0829	0.377105	
0286	2	8700	0678	0.376297	
0286	3	5797	0286	0.375135	
0286	4	4516	0186	0.370808	
0286	5	13791	1251	0.362235	
0286	6	8699	0678	0.356515	
0286	7	14862	1362	0.355377	
0286	8	13284	1195	0.355347	
0286	9	4507	0186	0.355237	
0286	10	10954	0918	0.355201	
0316	1	2993	0016	0.326898	
0316	2	14279	1302	0.317788	
0316	3	9511	0736	0.317776	
0316	4	13430	1212	0.315912	
0316	5	13144	1182	0.315370	
0316	6	6920	0452	0.314953	
0316	7	11698	1026	0.313336	
0316	8	5408	0260	0.313276	
0316	9	2203	0000	0.312491	
0316	10	8949	0693	0.310597	
0329	1	13625	1229	0.355789	
0329	2	3925	0128	0.355483	
0329	3	13624	1229	0.353804	
0329	4	13642	1229	0.353390	
0329	5	13347	1203	0.353139	
0329	6	12233	1083	0.352523	
0329	7	13639	1229	0.352378	
0329	8	8733	0680	0.351670	
0329	9	3929	0128	0.350315	
0329	10	6368	0355	0.347602	
0431	1	13639	1229	0.355353	
0431	2	13625	1229	0.350316	
0431	3	12233	1083	0.347027	
0431	4	13624	1229	0.344887	
0431	5	13347	1203	0.339516	
0431	6	10800	0899	0.337157	
0431	7	11493	0996	0.335577	
0431	8	5788	0286	0.334900	
0431	9	11183	0949	0.332199	
0431	10	13618	1229	0.331720	
0465	1	11727	1028	0.353391	
0465	2	7968	0580	0.346512	
0465	3	3326	0058	0.343443	
0465	4	13385	1208	0.341944	
0465	5	3260	0049	0.341510	
0465	6	5745	0284	0.341260	
0465	7	4318	0161	0.340418	
0465	8	5757	0284	0.340069	
0465	9	5751	0284	0.339561	
0465	10	14448	1319	0.339065	
0471	1	4280	0156	0.327223	
0471	2	13835	1259	0.325569	
0471	3	6909	0448	0.322474	
0471	4	3693	0094	0.320788	
0471	5	13372	1207	0.319496	
0471	6	3692	0094	0.318909	
0471	7	4281	0156	0.318893	
0471	8	7141	0474	0.314995	
0471	9	4282	0156	0.314547	
0471	10	7560	0523	0.313035	
0474	1	4280	0156	0.350026	
0474	2	3692	0094	0.346410	
0474	3	11330	0968	0.340556	
0474	4	8663	0671	0.339844	
0474	5	6909	0448	0.339557	
0474	6	10604	0861	0.337694	
0474	7	7223	0488	0.335867	
0474	8	8013	0583	0.335185	
0474	9	10757	0888	0.333754	
0474	10	4282	0156	0.333525	
0479	1	7785	0560	0.348820	
0479	2	11330	0968	0.343614	
0479	3	3692	0094	0.335436	
0479	4	13544	1224	0.333788	
0479	5	7222	0488	0.333413	
0479	6	7160	0478	0.333396	
0479	7	10757	0888	0.332720	
0479	8	7181	0479	0.332704	
0479	9	10604	0861	0.331081	
0479	10	8448	0632	0.330735	
0498	1	5797	0286	0.371302	
0498	2	4516	0186	0.369103	
0498	3	4507	0186	0.367389	
0498	4	3057	0019	0.366841	
0498	5	13791	1251	0.365858	
0498	6	5775	0286	0.364740	
0498	7	13788	1251	0.361345	
0498	8	5788	0286	0.356186	
0498	9	12234	1083	0.354889	
0498	10	5786	0286	0.354888	
0521	1	7968	0580	0.349248	
0521	2	13385	1208	0.348975	
0521	3	7989	0582	0.343630	
0521	4	6419	0363	0.342050	
0521	5	7310	0495	0.341180	
0521	6	7519	0521	0.338121	
0521	7	5632	0274	0.337101	
0521	8	5948	0295	0.336710	
0521	9	7194	0487	0.335629	
0521	10	7537	0521	0.333077	
0562	1	11119	0934	0.349536	
0562	2	2203	0000	0.343746	
0562	3	7100	0469	0.338737	
0562	4	5072	0228	0.337863	
0562	5	6487	0372	0.336342	
0562	6	10117	0797	0.335685	
0562	7	13430	1212	0.332893	
0562	8	1557	0000	0.331891	
0562	9	12058	1065	0.328990	
0562	10	9741	0763	0.328913	
0585	1	5735	0284	0.377571	
0585	2	9100	0715	0.375765	
0585	3	5749	0284	0.373795	
0585	4	1761	0000	0.370984	
0585	5	5757	0284	0.367387	
0585	6	6587	0388	0.366282	
0585	7	6876	0447	0.363657	
0585	8	14756	1356	0.363642	
0585	9	11119	0934	0.363459	
0585	10	9118	0715	0.362884	
0591	1	8700	0678	0.369861	
0591	2	4507	0186	0.355778	
0591	3	4694	0198	0.350271	
0591	4	5795	0286	0.349637	
0591	5	14262	1301	0.349307	
0591	6	10528	0845	0.348590	
0591	7	4620	0192	0.347234	
0591	8	8699	0678	0.347044	
0591	9	5791	0286	0.344916	
0591	10	7482	0514	0.344777	
0732	1	8259	0610	0.322157	
0732	2	7884	0574	0.320634	
0732	3	2993	0016	0.320079	
0732	4	4469	0183	0.317967	
0732	5	5626	0271	0.312555	
0732	6	7012	0461	0.311567	
0732	7	11408	0983	0.311474	
0732	8	9864	0771	0.309540	
0732	9	13658	1233	0.307830	
0732	10	11967	1061	0.307443	
0740	1	9582	0740	0.371510	
0740	2	11002	0923	0.369529	
0740	3	13624	1229	0.368496	
0740	4	13347	1203	0.363379	
0740	5	10762	0889	0.362251	
0740	6	10761	0889	0.360083	
0740	7	10076	0794	0.358414	
0740	8	8357	0625	0.356288	
0740	9	10079	0794	0.353614	
0740	10	10728	0881	0.353613	
0747	1	6909	0448	0.343693	
0747	2	4280	0156	0.342784	
0747	3	258	0000	0.341537	
0747	4	6089	0319	0.340382	
0747	5	6915	0448	0.339619	
0747	6	10930	0916	0.336380	
0747	7	7141	0474	0.336287	
0747	8	15095	1388	0.335962	
0747	9	13835	1259	0.335294	
0747	10	4282	0156	0.333959	
0778	1	9927	0778	0.355326	
0778	2	9944	0778	0.354113	
0778	3	4137	0146	0.349058	
