pid	rank	img_idx	img_label	score	path
0009	1	14713	1352	0.356435	
0009	2	11104	0932	0.350470	
0009	3	9696	0753	0.349727	
0009	4	6748	0418	0.341135	
0009	5	14290	1302	0.338596	
0009	6	7015	0461	0.338401	
0009	7	7223	0488	0.336527	
0009	8	4318	0161	0.334983	
0009	9	13700	1241	0.334199	
0009	10	4993	0226	0.333931	
0040	1	4280	0156	0.338487	
0040	2	1462	0000	0.337045	
0040	3	5655	0275	0.336016	
0040	4	1847	0000	0.329299	
0040	5	5153	0230	0.328781	
0040	6	4281	0156	0.327174	
0040	7	2055	0000	0.325321	
0040	8	3471	0074	0.325288	
0040	9	5150	0230	0.325244	
0040	10	11697	1026	0.324974	
0044	1	1794	0000	0.334524	
0044	2	10761	0889	0.333256	
0044	3	5191	0233	0.333039	
0044	4	12766	1148	0.330443	
0044	5	12767	1148	0.328884	
0044	6	15865	1498	0.328693	
0044	7	8013	0583	0.326883	
0044	8	8706	0678	0.326546	
0044	9	8700	0678	0.324934	
0044	10	5511	0265	0.324429	
0050	1	4694	0198	0.352011	
0050	2	8706	0678	0.350567	
0050	3	15857	1498	0.347868	
0050	4	15875	1498	0.344975	
0050	5	8700	0678	0.344530	
0050	6	5511	0265	0.344298	
0050	7	14374	1312	0.339713	
0050	8	8699	0678	0.338483	
0050	9	8013	0583	0.338113	
0050	10	5191	0233	0.337906	
0054	1	4281	0156	0.346853	
0054	2	4280	0156	0.342576	
0054	3	3693	0094	0.336414	
0054	4	3692	0094	0.334452	
0054	5	13835	1259	0.329147	
0054	6	13372	1207	0.327302	
0054	7	7745	0550	0.326497	
0054	8	7777	0560	0.325301	
0054	9	8663	0671	0.324443	
0054	10	6909	0448	0.323117	
0075	1	8700	0678	0.379827	
0075	2	8699	0678	0.368166	
0075	3	14862	1362	0.363115	
0075	4	8713	0678	0.361928	
0075	5	8706	0678	0.360078	
0075	6	2750	0000	0.359079	
0075	7	4694	0198	0.357367	
0075	8	4678	0198	0.356650	
0075	9	8712	0678	0.355887	
0075	10	15857	1498	0.352212	
0183	1	2993	0016	0.351036	
0183	2	7884	0574	0.343599	
0183	3	8259	0610	0.341476	
0183	4	14395	1314	0.338567	
0183	5	14357	1311	0.337094	
0183	6	11967	1061	0.334716	
0183	7	13617	1228	0.333811	
