path,pid,cam,seq,frame,idx
train_core/0002/0002_c1s1_000451_03.jpg,2,1,1,451,3
train_core/0002/0002_c1s1_000551_01.jpg,2,1,1,551,1
train_core/0002/0002_c2s1_000301_01.jpg,2,2,1,301,1
train_core/0002/0002_c3s1_000001_01.jpg,2,3,1,1,1
train_core/0002/0002_c5s1_000476_02.jpg,2,5,1,476,2
train_core/0002/0002_c6s1_069251_03.jpg,2,6,1,69251,3
train_core/0007/0007_c1s6_028546_01.jpg,7,1,6,28546,1
train_core/0007/0007_c1s6_028546_04.jpg,7,1,6,28546,4
train_core/0007/0007_c2s3_070952_01.jpg,7,2,3,70952,1
train_core/0007/0007_c2s3_071002_01.jpg,7,2,3,71002,1
train_core/0007/0007_c3s3_077344_04.jpg,7,3,3,77344,4
train_core/0007/0007_c3s3_077419_03.jpg,7,3,3,77419,3
train_core/0010/0010_c1s6_027271_05.jpg,10,1,6,27271,5
train_core/0010/0010_c1s6_027296_01.jpg,10,1,6,27296,1
train_core/0010/0010_c3s3_075919_02.jpg,10,3,3,75919,2
train_core/0010/0010_c3s3_076019_01.jpg,10,3,3,76019,1
train_core/0010/0010_c5s3_076487_02.jpg,10,5,3,76487,2
train_core/0010/0010_c6s4_002427_02.jpg,10,6,4,2427,2
train_core/0011/0011_c1s6_027271_01.jpg,11,1,6,27271,1
train_core/0011/0011_c1s6_027296_03.jpg,11,1,6,27296,3
train_core/0011/0011_c3s3_075919_03.jpg,11,3,3,75919,3
train_core/0011/0011_c3s3_075969_02.jpg,11,3,3,75969,2
train_core/0011/0011_c5s3_076537_12.jpg,11,5,3,76537,12
train_core/0011/0011_c6s4_002352_01.jpg,11,6,4,2352,1
train_core/0012/0012_c1s1_000701_01.jpg,12,1,1,701,1
train_core/0012/0012_c1s1_000776_02.jpg,12,1,1,776,2
train_core/0012/0012_c1s1_000801_02.jpg,12,1,1,801,2
train_core/0012/0012_c4s1_000826_01.jpg,12,4,1,826,1
train_core/0012/0012_c4s1_000876_03.jpg,12,4,1,876,3
train_core/0012/0012_c5s1_000651_02.jpg,12,5,1,651,2
train_core/0020/0020_c1s1_001526_03.jpg,20,1,1,1526,3
train_core/0020/0020_c4s1_001426_04.jpg,20,4,1,1426,4
train_core/0020/0020_c4s1_001426_06.jpg,20,4,1,1426,6
train_core/0020/0020_c4s1_001451_03.jpg,20,4,1,1451,3
train_core/0020/0020_c4s1_001451_04.jpg,20,4,1,1451,4
train_core/0020/0020_c4s1_001476_01.jpg,20,4,1,1476,1
train_core/0022/0022_c1s1_002351_04.jpg,22,1,1,2351,4
train_core/0022/0022_c2s1_001801_05.jpg,22,2,1,1801,5
train_core/0022/0022_c3s1_001826_02.jpg,22,3,1,1826,2
train_core/0022/0022_c4s1_004376_03.jpg,22,4,1,4376,3
train_core/0022/0022_c5s1_002401_01.jpg,22,5,1,2401,1
train_core/0022/0022_c6s1_002901_01.jpg,22,6,1,2901,1
train_core/0023/0023_c1s1_004101_02.jpg,23,1,1,4101,2
train_core/0023/0023_c1s1_004126_02.jpg,23,1,1,4126,2
train_core/0023/0023_c3s1_001951_03.jpg,23,3,1,1951,3
train_core/0023/0023_c4s1_004151_01.jpg,23,4,1,4151,1
train_core/0023/0023_c5s1_004051_04.jpg,23,5,1,4051,4
train_core/0023/0023_c6s1_002351_02.jpg,23,6,1,2351,2
train_core/0027/0027_c1s1_002301_03.jpg,27,1,1,2301,3
train_core/0027/0027_c1s1_002326_04.jpg,27,1,1,2326,4
train_core/0027/0027_c2s1_001751_04.jpg,27,2,1,1751,4
train_core/0027/0027_c2s1_001776_04.jpg,27,2,1,1776,4
train_core/0027/0027_c3s1_002026_03.jpg,27,3,1,2026,3
train_core/0027/0027_c6s1_002626_01.jpg,27,6,1,2626,1
train_core/0028/0028_c1s4_033506_01.jpg,28,1,4,33506,1
train_core/0028/0028_c1s4_033531_01.jpg,28,1,4,33531,1
train_core/0028/0028_c2s1_001751_02.jpg,28,2,1,1751,2
train_core/0028/0028_c2s1_001776_03.jpg,28,2,1,1776,3
train_core/0028/0028_c3s1_001976_01.jpg,28,3,1,1976,1
train_core/0028/0028_c6s1_002551_02.jpg,28,6,1,2551,2
train_core/0030/0030_c1s1_002551_03.jpg,30,1,1,2551,3
train_core/0030/0030_c1s1_002576_01.jpg,30,1,1,2576,1
train_core/0030/0030_c2s1_001876_02.jpg,30,2,1,1876,2
train_core/0030/0030_c3s1_001926_06.jpg,30,3,1,1926,6
train_core/0030/0030_c4s1_002476_03.jpg,30,4,1,2476,3
train_core/0032/0032_c1s1_002576_03.jpg,32,1,1,2576,3
train_core/0032/0032_c1s1_002851_02.jpg,32,1,1,2851,2
train_core/0032/0032_c3s1_002276_01.jpg,32,3,1,2276,1
train_core/0032/0032_c3s1_002376_02.jpg,32,3,1,2376,2
train_core/0032/0032_c5s1_002801_01.jpg,32,5,1,2801,1
train_core/0032/0032_c6s1_002851_01.jpg,32,6,1,2851,1
train_core/0035/0035_c1s1_003351_01.jpg,35,1,1,3351,1
train_core/0035/0035_c1s1_003676_01.jpg,35,1,1,3676,1
train_core/0035/0035_c3s1_003251_01.jpg,35,3,1,3251,1
train_core/0035/0035_c4s1_003201_01.jpg,35,4,1,3201,1
train_core/0035/0035_c5s1_003676_01.jpg,35,5,1,3676,1
train_core/0035/0035_c6s1_003801_01.jpg,35,6,1,3801,1
train_core/0037/0037_c1s1_003926_01.jpg,37,1,1,3926,1
train_core/0037/0037_c1s1_003951_01.jpg,37,1,1,3951,1
train_core/0037/0037_c2s1_002976_01.jpg,37,2,1,2976,1
train_core/0037/0037_c2s1_003126_01.jpg,37,2,1,3126,1
train_core/0037/0037_c3s1_003151_01.jpg,37,3,1,3151,1
train_core/0037/0037_c5s1_003801_02.jpg,37,5,1,3801,2
train_core/0042/0042_c2s3_057927_04.jpg,42,2,3,57927,4
train_core/0042/0042_c3s3_064144_04.jpg,42,3,3,64144,4
train_core/0042/0042_c3s3_064169_01.jpg,42,3,3,64169,1
train_core/0042/0042_c6s3_087892_02.jpg,42,6,3,87892,2
train_core/0042/0042_c6s3_087917_01.jpg,42,6,3,87917,1
train_core/0043/0043_c2s1_003626_02.jpg,43,2,1,3626,2
train_core/0043/0043_c2s1_003651_02.jpg,43,2,1,3651,2
train_core/0043/0043_c3s1_003776_03.jpg,43,3,1,3776,3
train_core/0043/0043_c3s1_003826_02.jpg,43,3,1,3826,2
train_core/0043/0043_c6s1_004376_01.jpg,43,6,1,4376,1
