path,pid,cam,seq,frame,idx
train_full_clean/0002/0002_c1s1_000451_03.jpg,2,1,1,451,3
train_full_clean/0002/0002_c1s1_000551_01.jpg,2,1,1,551,1
train_full_clean/0002/0002_c1s1_000776_01.jpg,2,1,1,776,1
train_full_clean/0002/0002_c1s1_000801_01.jpg,2,1,1,801,1
train_full_clean/0002/0002_c1s1_069056_02.jpg,2,1,1,69056,2
train_full_clean/0002/0002_c1s2_000841_01.jpg,2,1,2,841,1
train_full_clean/0002/0002_c1s2_050821_02.jpg,2,1,2,50821,2
train_full_clean/0002/0002_c1s2_050846_02.jpg,2,1,2,50846,2
train_full_clean/0002/0002_c1s2_064446_01.jpg,2,1,2,64446,1
train_full_clean/0002/0002_c2s1_000301_01.jpg,2,2,1,301,1
train_full_clean/0002/0002_c2s1_000351_01.jpg,2,2,1,351,1
train_full_clean/0002/0002_c2s1_000801_01.jpg,2,2,1,801,1
train_full_clean/0002/0002_c2s1_000976_01.jpg,2,2,1,976,1
train_full_clean/0002/0002_c2s1_068496_01.jpg,2,2,1,68496,1
train_full_clean/0002/0002_c2s1_068521_01.jpg,2,2,1,68521,1
train_full_clean/0002/0002_c2s1_073121_01.jpg,2,2,1,73121,1
train_full_clean/0002/0002_c2s1_073121_02.jpg,2,2,1,73121,2
train_full_clean/0002/0002_c2s1_123041_01.jpg,2,2,1,123041,1
train_full_clean/0002/0002_c2s1_123141_01.jpg,2,2,1,123141,1
train_full_clean/0002/0002_c2s1_123141_03.jpg,2,2,1,123141,3
train_full_clean/0002/0002_c2s1_136741_01.jpg,2,2,1,136741,1
train_full_clean/0002/0002_c3s1_000001_01.jpg,2,3,1,1,1
train_full_clean/0002/0002_c3s1_000076_01.jpg,2,3,1,76,1
train_full_clean/0002/0002_c3s1_000501_01.jpg,2,3,1,501,1
train_full_clean/0002/0002_c3s1_068642_02.jpg,2,3,1,68642,2
train_full_clean/0002/0002_c3s1_072942_02.jpg,2,3,1,72942,2
train_full_clean/0002/0002_c3s1_123058_01.jpg,2,3,1,123058,1
train_full_clean/0002/0002_c3s1_123283_03.jpg,2,3,1,123283,3
train_full_clean/0002/0002_c3s1_123283_05.jpg,2,3,1,123283,5
train_full_clean/0002/0002_c3s1_123333_02.jpg,2,3,1,123333,2
train_full_clean/0002/0002_c3s1_123358_03.jpg,2,3,1,123358,3
train_full_clean/0002/0002_c3s1_136233_01.jpg,2,3,1,136233,1
train_full_clean/0002/0002_c3s1_136258_02.jpg,2,3,1,136258,2
train_full_clean/0002/0002_c3s1_136308_04.jpg,2,3,1,136308,4
train_full_clean/0002/0002_c5s1_000476_02.jpg,2,5,1,476,2
train_full_clean/0002/0002_c5s1_000551_01.jpg,2,5,1,551,1
train_full_clean/0002/0002_c5s1_000551_03.jpg,2,5,1,551,3
train_full_clean/0002/0002_c5s1_000626_01.jpg,2,5,1,626,1
train_full_clean/0002/0002_c5s1_000651_01.jpg,2,5,1,651,1
train_full_clean/0002/0002_c5s1_000776_01.jpg,2,5,1,776,1
train_full_clean/0002/0002_c5s1_069073_02.jpg,2,5,1,69073,2
